# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_2DConvolution,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,0.001801,0.001799,0.001792,"0.001792 0.001795 0.001799 0.001804 0.001814",0.000009,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_2mm,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,3.708235,3.718572,3.675939,"3.675939 3.678229 3.718572 3.733127 3.735307",0.029166,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_3mm,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,6.840469,6.833009,6.814000,"6.814000 6.819699 6.833009 6.835945 6.899693",0.034335,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Bicg,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,0.005463,0.006053,0.004553,"0.004553 0.004588 0.006053 0.006055 0.006066",0.000815,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Covariance,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,5.105425,5.340079,4.718426,"4.718426 4.725926 5.340079 5.364169 5.378527",0.350137,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gemm,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,1.867062,1.862540,1.852004,"1.852004 1.859539 1.862540 1.872918 1.888310",0.014050,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gesummv,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,0.009620,0.008900,0.008840,"0.008840 0.008866 0.008900 0.010738 0.010759",0.001030,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gramschmidt,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,15.111387,15.091545,15.086885,"15.086885 15.091272 15.091545 15.092361 15.194869",0.046717,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MatmulChain,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,5.703904,5.703134,5.679208,"5.679208 5.701453 5.703134 5.714629 5.721094",0.016024,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Mvt,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,0.004767,0.004243,0.004223,"0.004223 0.004227 0.004243 0.005568 0.005575",0.000734,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Syr2k,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,10.605405,10.587926,10.511573,"10.511573 10.572313 10.587926 10.616662 10.738553",0.083756,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Syrk,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,4.562045,4.560946,4.558574,"4.558574 4.560061 4.560946 4.562665 4.567980",0.003633,N/A,LLVM (Intel DPC++),N/A
