# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_2DConvolution,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,0.001787,0.001786,0.001785,"0.001785 0.001786 0.001786 0.001788 0.001791",0.000002,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_2mm,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,3.681106,3.700643,3.622277,"3.622277 3.668934 3.700643 3.703469 3.710206",0.036529,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_3mm,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,6.801907,6.799652,6.786755,"6.786755 6.793860 6.799652 6.809613 6.819657",0.012979,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Atax,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,0.006411,0.006915,0.005618,"0.005618 0.005625 0.006915 0.006929 0.006967",0.000721,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Bicg,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,0.005176,0.004575,0.004568,"0.004568 0.004571 0.004575 0.006078 0.006090",0.000828,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Covariance,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,4.693790,4.695427,4.682373,"4.682373 4.685260 4.695427 4.696128 4.709761",0.010797,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gemm,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,1.858626,1.865172,1.829163,"1.829163 1.846413 1.865172 1.865540 1.886843",0.021818,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gesummv,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,0.009398,0.008537,0.008490,"0.008490 0.008506 0.008537 0.010728 0.010731",0.001215,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gramschmidt,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,15.011846,15.001983,14.994872,"14.994872 15.000447 15.001983 15.004936 15.056990",0.025500,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MatmulChain,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,5.611714,5.613936,5.577513,"5.577513 5.607712 5.613936 5.614116 5.645294",0.024104,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Mvt,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,0.005036,0.005568,0.004220,"0.004220 0.004226 0.005568 0.005580 0.005586",0.000742,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Syr2k,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,10.735276,10.745091,10.572771,"10.572771 10.628154 10.745091 10.861427 10.868936",0.133939,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Syrk,PASS,Intel(R) Iris(R) Xe Graphics [0x9a49],N/A,N/A,N/A,N/A,N/A,N/A,256,3072,4.566231,4.565763,4.564704,"4.564704 4.565106 4.565763 4.566018 4.569562",0.001934,N/A,LLVM (Intel DPC++),N/A
